iteration,query,time
16,18,22.422
17,1,1363.687
17,2,0.652
17,3,0.878
17,4,746.042
17,5,0.797
17,6,1.152
17,7,0.290
17,8,1.339
17,9,0.695
17,10,2.142
17,11,2.772
17,12,9.697
17,13,5.476
17,14,0.439
17,15,202.065
17,18,0.000
17,19,2.020
17,20,0.000
17,21,22.636
17,22,1967.528
17,23,5.131
17,24,1356.004
17,25,0.646
17,26,0.875
17,27,342.225
18,1,762.809
18,2,0.820
18,3,1.178
18,4,0.296
18,5,1.369
18,6,0.702
18,7,2.207
18,8,2.894
18,9,10.796
18,10,6.510
18,11,0.444
18,12,0.825
18,13,208.523
18,14,0.872
18,15,2.062
18,18,21.865
18,19,2022.167
18,20,5.176
18,21,347.385
